tenant_id,capability_key,enabled,read_only,source,module_key,required_permission,effective_from,effective_until
76c44a0e-6041-8bda-99c7-b740fccea001,methodology.risk,t,f,plan,risk_manager,commercial.entitlement.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.actions.propose,t,f,plan,metrics_bi,metrics.measure,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.actions.review,t,f,plan,metrics_bi,metrics.validate,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.catalog,t,f,plan,metrics_bi,metrics.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.comparisons.read,t,f,plan,metrics_bi,metrics.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.data_trust,t,f,plan,metrics_bi,data.quality.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.data_trust,t,f,plan,data_governance,data.quality.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.engine,t,f,plan,metrics_bi,metrics.measure,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.indicators.read,t,f,plan,metrics_bi,metrics.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.indicators.technical,t,f,plan,metrics_bi,data.lineage.read,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.jobs.run,t,f,plan,metrics_bi,metrics.recalculate,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.methodology.manage,t,f,plan,metrics_bi,metrics.manage,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.methodology.publish,t,f,plan,metrics_bi,metrics.publish,2026-08-03 19:59:18.231419+00,
